horizon,samples,skipped,accuracy,wf1,mcc
1d,1480,748,0.46824324324324323,0.46971590238600813,-0.06670205448060644
3d,1480,748,0.5243243243243243,0.5245504538700668,0.04766435230498121
5d,1480,748,0.5027027027027027,0.5026263574850001,0.004633158277633387
10d,1456,748,0.49107142857142855,0.4915520269668549,-0.02433861047659296
21d,1336,748,0.49700598802395207,0.49700598802395207,-0.008918296892980437
