horizon,samples,skipped,accuracy,wf1,mcc
1d,1480,748,0.46824324324324323,0.46971590238600813,-0.06670205448060644
3d,1480,748,0.4797297297297297,0.48256349062686454,-0.04425648270333691
5d,1480,748,0.4783783783783784,0.4846580070058253,-0.05199070558644696
10d,1456,748,0.49725274725274726,0.5026911189771767,-0.020948218869722816
21d,1336,748,0.4431137724550898,0.5139973490540657,-0.201450577648292
