Stock_symbol
AAPL
MSFT
GOOGL
GOOG
AMZN
META
NVDA
TSM
AVGO
ASML
AMD
INTC
QCOM
TXN
MU
AMAT
LRCX
KLAC
NXPI
ADI
ON
MRVL
SWKS
WOLF
CSCO
DELL
HPE
HPQ
NTAP
SMCI
NTNX
JBL
LOGI
AAOI
ERIC
NOK
BB
ORCL
SAP
CRM
ADBE
SNOW
NOW
PANW
CRWD
ZS
OKTA
MDB
TEAM
TSLA
TM
F
GM
NIO
RIVN
LCID
BYDDF
VWAGY
HMC
GE
HON
CAT
BA
DE
MMM
UTX
GD
EMR
ROK
