horizon,samples,skipped,accuracy,wf1,mcc,mcc_ci_low,mcc_ci_high
1d,583,0,0.5231560891938251,0.5208438316075997,0.04652516731046788,-0.03780374876815006,0.13025246458378043
3d,572,0,0.5122377622377622,0.5096077933627067,0.019451408714019392,-0.06827038140051836,0.09478427339951837
5d,516,0,0.5426356589147286,0.5408833581909523,0.07992467809251025,-0.007445375243765775,0.16299984599256503
10d,496,0,0.5463709677419355,0.5441095549602205,0.09483228218118181,0.015711988360740756,0.18175397443411803
21d,444,0,0.47297297297297297,0.4723284098628072,-0.05858142039328385,-0.14682191860186738,0.03658620642185425
