horizon,threshold,samples,pred_up_rate,actual_up_rate,accuracy,wf1,mcc
1d,0.0,584,1.0,0.5,0.5,0.3333333333333333,
1d,0.1,584,0.6695205479452054,0.5,0.5256849315068494,0.511651144888379,0.054603970814087355
1d,0.2,584,0.6438356164383562,0.5,0.5308219178082192,0.5209101796407186,0.06436457636519509
1d,0.3,584,0.6352739726027398,0.5,0.5291095890410958,0.5203321237101086,0.06047448308512144
1d,0.4,584,0.6078767123287672,0.5,0.5222602739726028,0.51663517133559,0.045594392612223644
1d,0.5,584,0.5702054794520548,0.5,0.5222602739726028,0.5198939226519336,0.04496601228690494
1d,0.6,584,0.5188356164383562,0.5,0.511986301369863,0.5118131022042325,0.02398963088704495
1d,0.7,584,0.5,0.5,0.5068493150684932,0.5068493150684932,0.0136986301369863
1d,0.8,584,0.4674657534246575,0.5,0.5085616438356164,0.5080409163621421,0.017159652404971918
1d,0.9,584,0.4280821917808219,0.5,0.5102739726027398,0.507727856831284,0.020763856206179484
1d,1.0,584,0.3595890410958904,0.5,0.5136986301369864,0.5039182608903724,0.028545952482036698
3d,0.0,572,1.0,0.5,0.5,0.3333333333333333,
3d,0.1,572,0.6835664335664335,0.5,0.4982517482517482,0.4807549365983571,-0.0037590000705733473
3d,0.2,572,0.6678321678321678,0.5,0.506993006993007,0.49270366829366474,0.014847437622971691
3d,0.3,572,0.6398601398601399,0.5,0.5034965034965035,0.49359070277819345,0.007283763613133606
3d,0.4,572,0.6066433566433567,0.5,0.5087412587412588,0.5030899979286657,0.017894270903167298
3d,0.5,572,0.5751748251748252,0.5,0.5052447552447552,0.5024328768807537,0.010610116901320505
3d,0.6,572,0.5559440559440559,0.5,0.506993006993007,0.5054451802796173,0.014074389737795326
3d,0.7,572,0.5227272727272727,0.5,0.49125874125874125,0.49099582587954677,-0.017500605968972696
3d,0.8,572,0.5034965034965035,0.5,0.486013986013986,0.48600770218228495,-0.02797271194322297
3d,0.9,572,0.44755244755244755,0.5,0.5,0.4986208333844136,0.0
3d,1.0,572,0.3723776223776224,0.5,0.5122377622377622,0.5041618119960851,0.025314013886462813
5d,0.0,516,1.0,0.5,0.5,0.3333333333333333,
5d,0.1,516,0.6841085271317829,0.5,0.5058139534883721,0.4884753392864779,0.012506624185473004
5d,0.2,516,0.6647286821705426,0.5,0.49806201550387597,0.4840617532264478,-0.004105158108129129
5d,0.3,516,0.6124031007751938,0.5,0.5077519379844961,0.5014530681800892,0.0159111456835146
5d,0.4,516,0.5813953488372093,0.5,0.5077519379844961,0.5044689442402795,0.015713484026367724
5d,0.5,516,0.5658914728682171,0.5,0.5038759689922481,0.5017125612976235,0.007820140588623181
5d,0.6,516,0.5523255813953488,0.5,0.5135658914728682,0.5122303946491317,0.027281586369037828
5d,0.7,516,0.5329457364341085,0.5,0.5174418604651163,0.5169175123229574,0.03495969549806232
5d,0.8,516,0.45930232558139533,0.5,0.501937984496124,0.5011116754133513,0.003888872685286458
5d,0.9,516,0.42054263565891475,0.5,0.5058139534883721,0.5026740999716526,0.011777572697933886
5d,1.0,516,0.39147286821705424,0.5,0.5077519379844961,0.5018850714502888,0.01588252262128214
10d,0.0,496,1.0,0.5,0.5,0.3333333333333333,
10d,0.1,496,0.6854838709677419,0.5,0.5161290322580645,0.49888866437664176,0.03473667371459374
10d,0.2,496,0.6491935483870968,0.5,0.5120967741935484,0.5009894404257088,0.025348291360951392
10d,0.3,496,0.625,0.5,0.5120967741935484,0.504352278545827,0.02498698933037043
10d,0.4,496,0.5907258064516129,0.5,0.5100806451612904,0.5060145661110451,0.02050161979446032
10d,0.5,496,0.5705645161290323,0.5,0.5100806451612904,0.5076289569469465,0.02036512053345073
10d,0.6,496,0.5483870967741935,0.5,0.5161290322580645,0.514993481095176,0.03241018617760822
10d,0.7,496,0.5221774193548387,0.5,0.5020161290322581,0.5017710811525243,0.004036230361570294
10d,0.8,496,0.4879032258064516,0.5,0.5,0.499926823318969,0.0
10d,0.9,496,0.43548387096774194,0.5,0.4879032258064516,0.4857628004179728,-0.024397501823713332
10d,1.0,496,0.38306451612903225,0.5,0.4959677419354839,0.48898010319305013,-0.008294543363223992
21d,0.0,444,1.0,0.5,0.5,0.3333333333333333,
21d,0.1,444,0.6509009009009009,0.5,0.49774774774774777,0.48604442321967123,-0.004724819581779406
21d,0.2,444,0.6328828828828829,0.5,0.5022522522522522,0.4933051044383052,0.004672540106876332
21d,0.3,444,0.6193693693693694,0.5,0.5022522522522522,0.49505730032368117,0.004638636070427133
21d,0.4,444,0.5968468468468469,0.5,0.49324324324324326,0.48844521140680125,-0.013774371828835367
21d,0.5,444,0.5427927927927928,0.5,0.4752252252252252,0.47426248253080927,-0.049732025185464615
21d,0.6,444,0.5180180180180181,0.5,0.4864864864864865,0.48631972071121216,-0.02704459273009322
21d,0.7,444,0.49324324324324326,0.5,0.48423423423423423,0.48421068651174115,-0.03153441099197601
21d,0.8,444,0.4572072072072072,0.5,0.4797297297297297,0.4787752509211028,-0.04068983878810741
21d,0.9,444,0.42792792792792794,0.5,0.47297297297297297,0.47022109814799706,-0.05462451415456674
21d,1.0,444,0.36486486486486486,0.5,0.46396396396396394,0.4539930555555556,-0.07485794853924613
