horizon,samples,skipped,accuracy,wf1,mcc,mcc_ci_low,mcc_ci_high
1d,584,0,0.5222602739726028,0.5198939226519336,0.04496601228690494,-0.039775935744237344,0.1275412892837712
3d,572,0,0.5052447552447552,0.5024328768807537,0.010610116901320505,-0.07534508280432489,0.08965869095345654
5d,516,0,0.5038759689922481,0.5017125612976235,0.007820140588623181,-0.07614128917639644,0.09187146779214717
10d,496,0,0.5100806451612904,0.5076289569469465,0.02036512053345073,-0.06533718831112914,0.10924005966348416
21d,444,0,0.4752252252252252,0.47426248253080927,-0.049732025185464615,-0.14005887989607493,0.04902016746963578
